id,name,function,song,_type_id
1,麻黄汤,发汗解表，宣肺平喘,麻黄汤中用桂枝，杏仁甘草四般施，发热恶寒头项痛，伤寒服此汗淋漓。,1
2,桂枝汤,解肌发表，调和营卫,桂枝汤治太阳风，芍药甘草姜枣同，解肌发表调营卫，汗出恶风此方功。,1
3,九味羌活汤,发汗祛湿，兼清里热,九味羌活用防风，细辛苍芷与川芎，黄芩生地同甘草，三阳解表益姜葱。,1
4,香苏散,疏散风寒，理气和中,香苏散内草陈皮，疏散风寒又理气，外感风寒兼气滞，寒热无汗胸脘痞。,1
5,小青龙汤,解表散寒，温肺化饮,小青龙汤治水气，喘咳呕哕渴利慰，姜桂麻黄芍药甘，细辛半夏兼五味。,1
6,大承气汤,峻下热结,大承气汤用芒硝，枳实厚朴大黄饶，救阴泻热功偏擅，急下阳明有数条。,2
7,温脾汤,攻下冷积，温补脾阳,温脾参附与干姜，甘草当归硝大黄，寒热并行治寒积，脐腹绞结痛非常。,2
8,麻子仁丸,润肠泄热，行气通便,麻子仁丸小承气，杏芍麻仁治便秘，胃热津亏解便难，润肠通便脾约济。,2
9,十枣汤,攻逐水饮,十枣逐水效堪夸，大戟甘遂与芫花，悬饮内停胸胁痛，大腹肿满用无差。,2
10,黄龙汤,攻下热结，益气养血,黄龙枳朴与硝黄，参归甘桔枣生姜，阳明腑实气血弱，攻补兼施效力强。,2
11,小柴胡汤,和解少阳,小柴胡汤和解供，半夏人参甘草从，更用黄芩加姜枣，少阳百病此为宗。,3
12,蒿芩清胆汤,清胆利湿，和胃化痰,俞氏蒿芩清胆汤，陈皮半夏竹茹襄，赤苓枳壳兼碧玉，湿热轻宣此法良。,3
13,四逆散,透邪解郁，疏肝理脾,四逆散里用柴胡，芍药枳实甘草须，此是阳邪成郁逆，敛阴泄热平剂扶。,3
14,逍遥散,疏肝解郁，养血健脾,逍遥散用当归芍，柴苓术草加姜薄，散郁除蒸功最奇，调经八味丹栀着。,3
15,半夏泻心汤,寒热平调，散结除痞,半夏泻心黄连芩，干姜甘草与人参，大枣和之治虚痞，法在降阳而和阴。,3
16,白虎汤,清热生津,白虎汤用石膏偎，知母甘草粳米陪，亦有加入人参者，躁烦热渴舌生苔。,4
17,清营汤,清营解毒，透热养阴,清营汤治热传营，脉数舌绛辨分明，犀地银翘玄连竹，丹麦清热更护阴。,4
18,黄连解毒汤,泻火解毒,黄连解毒汤四味，黄柏黄芩栀子备，躁狂大热呕不眠，吐衄斑黄均可使。,4
19,导赤散,清心利水养阴,导赤生地与木通，草梢竹叶四般攻，口糜淋痛小肠火，引热同归小便中。,4
20,青蒿鳖甲汤,养阴透热,青蒿鳖甲知地丹，阴分热伏此方攀，夜热早凉无汗者，从里达表服之安。,4
21,香薷散,祛暑解表，化湿和中,三物香薷豆朴先，散寒化湿功效兼，若益银翘豆易花，新加香薷祛暑煎。,5
22,六一散,清暑利湿,六一滑石同甘草，解肌行水兼清燥，统治表里及三焦，热渴暑烦泻痢保，益元碧玉与鸡苏，砂黛薄荷加之好。,5
23,桂苓甘露散,清暑解热，化气利湿,桂苓甘露猪苓膏，术泽寒水滑石草，清暑化气又利湿，发热烦渴吐泻消。,5
24,清暑益气汤,清暑益气，养阴生津,王氏清暑益气汤，西瓜翠衣荷梗襄，知麦石斛西洋参，黄连竹叶草粳方。,5
25,理中丸,温中祛寒，补气健脾,理中丸主理中乡，甘草人参术黑姜，呕利腹痛阴寒盛，或加附子总扶阳。,6
26,小建中汤,温中补虚，和理缓急,小建中汤芍药多，桂姜甘草大枣和，更加饴糖补中藏，虚劳腹痛服之瘥。,6
